Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
BSNL,Indoor,3G,1,Call Dropped,-1,-1,NA
BSNL,Outdoor,3G,5,Satisfactory,10.95024068,76.97629659,Tamil Nadu
BSNL,Outdoor,3G,5,Satisfactory,-1,-1,NA
Idea,Indoor,3G,5,Satisfactory,-1,-1,NA
Idea,Indoor,2G,5,Satisfactory,-1,-1,NA
Idea,Indoor,Unknown,5,Satisfactory,23.20620709,82.20401904,Madhya Pradesh
Idea,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Idea,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Idea,Outdoor,Unknown,5,Satisfactory,-1,-1,NA
Idea,Travelling,Unknown,5,Satisfactory,23.20620709,82.20401904,Madhya Pradesh
Idea,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Idea,Travelling,Unknown,5,Satisfactory,-1,-1,NA
Idea,Outdoor,Unknown,5,Satisfactory,-1,-1,NA
Idea,Indoor,4G,5,Satisfactory,23.3019676,81.3605023,Madhya Pradesh
Idea,Indoor,Unknown,5,Satisfactory,23.2982118,81.3576066,Madhya Pradesh
Idea,Outdoor,Unknown,5,Satisfactory,-1,-1,NA
Idea,Travelling,Unknown,5,Satisfactory,-1,-1,NA
Idea,Travelling,Unknown,5,Satisfactory,-1,-1,NA
Idea,Travelling,Unknown,5,Satisfactory,23.3019676,81.3605023,Madhya Pradesh
Idea,Travelling,Unknown,5,Satisfactory,23.2999443,81.357972,Madhya Pradesh
Idea,Travelling,Unknown,5,Satisfactory,23.3019676,81.3605023,Madhya Pradesh
Idea,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Idea,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Idea,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Idea,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Idea,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Idea,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Idea,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Idea,Travelling,Unknown,5,Satisfactory,-1,-1,NA
Idea,Travelling,Unknown,5,Satisfactory,-1,-1,NA
Idea,Travelling,Unknown,5,Satisfactory,-1,-1,NA
Idea,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Idea,Travelling,Unknown,5,Satisfactory,-1,-1,NA
Idea,Travelling,4G,5,Satisfactory,-1,-1,NA
Idea,Travelling,Unknown,5,Satisfactory,-1,-1,NA
Idea,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Idea,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Idea,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Idea,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Idea,Travelling,Unknown,5,Satisfactory,-1,-1,NA
Idea,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Idea,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Idea,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Idea,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Idea,Travelling,Unknown,5,Satisfactory,-1,-1,NA
Idea,Travelling,Unknown,5,Satisfactory,-1,-1,NA
Idea,Travelling,4G,5,Satisfactory,-1,-1,NA
Idea,Travelling,4G,5,Satisfactory,-1,-1,NA
Idea,Travelling,4G,5,Satisfactory,23.29571885,81.37146671,Madhya Pradesh
Idea,Outdoor,Unknown,5,Satisfactory,23.29574872,81.37151201,Madhya Pradesh
Idea,Outdoor,Unknown,5,Satisfactory,23.29574872,81.37151201,Madhya Pradesh
Idea,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Idea,Indoor,4G,5,Satisfactory,-1,-1,NA
Idea,Travelling,Unknown,5,Satisfactory,-1,-1,NA
Idea,Indoor,4G,5,Satisfactory,-1,-1,NA
Idea,Travelling,Unknown,5,Satisfactory,-1,-1,NA
Idea,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Idea,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Idea,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Idea,Indoor,4G,2,Poor Voice Quality,12.9307471,77.6175225,Karnataka
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
Vodafone,Travelling,4G,1,Poor Voice Quality,-1,-1,NA
