"operator","inout_travelling","network_type","rating","calldrop_category","latitude","longitude","state_name"
"Airtel","Indoor","4G","1","Poor Voice Quality","-1","-1","NA"
"Idea","Indoor","4G","1","Poor Voice Quality","-1","-1","NA"
"RJio","Indoor","4G","1","Call Dropped","-1","-1","NA"
"RJio","Indoor","4G","1","Poor Voice Quality","25.147081","82.5711304","Uttar Pradesh"
"Airtel","Indoor","Unknown","3","Poor Voice Quality","13.0493978","80.2577859","Tamil Nadu"
"VI","Outdoor","3G","5","Satisfactory","17.044932","79.29126342","Telangana"
"BSNL","Indoor","4G","4","Satisfactory","-1","-1","NA"
"Airtel","Indoor","Unknown","3","Satisfactory","28.61517828","77.12426006","Delhi"
"Airtel","Indoor","4G","4","Satisfactory","-1","-1","NA"
"Airtel","Indoor","4G","4","Satisfactory","-1","-1","NA"
"Airtel","Indoor","4G","4","Satisfactory","-1","-1","NA"
"Airtel","Outdoor","4G","4","Satisfactory","-1","-1","NA"
"Airtel","Indoor","4G","4","Satisfactory","16.86877817","79.56257499","Telangana"
"BSNL","Indoor","4G","4","Satisfactory","-1","-1","NA"
"Airtel","Indoor","4G","1","Call Dropped","26.7246067","88.4381893","West Bengal"
"VI","Indoor","Unknown","1","Poor Voice Quality","-1","-1","NA"
"VI","Indoor","3G","5","Satisfactory","17.044932","79.29126342","Telangana"
"RJio","Indoor","4G","1","Call Dropped","31.6125784","76.9223518","Himachal Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.16384958","77.44599589","Madhya Pradesh"
"Idea","Indoor","2G","1","Poor Voice Quality","16.93500902","78.86381786","Telangana"
"RJio","Indoor","4G","4","Satisfactory","26.8901305","75.8084654","Rajasthan"
"BSNL","Indoor","Unknown","2","Poor Voice Quality","-1","-1","NA"
"BSNL","Indoor","Unknown","2","Poor Voice Quality","-1","-1","NA"
"Airtel","Indoor","4G","5","Satisfactory","-1","-1","NA"
"Airtel","Outdoor","Unknown","3","Satisfactory","28.6154668","77.12714381","Delhi"
"BSNL","Indoor","3G","5","Satisfactory","-1","-1","NA"
"RJio","Indoor","Unknown","1","Poor Voice Quality","-1","-1","NA"
"Airtel","Indoor","4G","4","Satisfactory","22.8081282","86.1886852","Jharkhand"
"Airtel","Indoor","2G","4","Satisfactory","16.86877817","79.56257499","Telangana"
"VI","Indoor","4G","5","Satisfactory","28.5569607","77.054118","Delhi"
"RJio","Indoor","4G","4","Satisfactory","18.51964914","73.85622863","Maharashtra"
"RJio","Indoor","4G","4","Satisfactory","18.51964914","73.85622863","Maharashtra"
"RJio","Indoor","4G","4","Satisfactory","18.5197607","73.8561992","Maharashtra"
"BSNL","Indoor","3G","5","Satisfactory","-1","-1","NA"
"BSNL","Indoor","4G","4","Satisfactory","-1","-1","NA"
"Airtel","Indoor","4G","3","Satisfactory","-1","-1","NA"
"Airtel","Indoor","4G","1","Call Dropped","-1","-1","NA"
"RJio","Indoor","4G","4","Satisfactory","18.519763","73.8561949","Maharashtra"
"RJio","Indoor","4G","5","Satisfactory","23.68636833","83.654435","Chhattisgarh"
"RJio","Indoor","4G","5","Satisfactory","23.68636833","83.654435","Chhattisgarh"
"RJio","Indoor","4G","4","Satisfactory","18.5197601","73.8561981","Maharashtra"
"VI","Indoor","Unknown","1","Poor Voice Quality","-1","-1","NA"
"VI","Indoor","Unknown","1","Poor Voice Quality","-1","-1","NA"
"Idea","Indoor","4G","1","Call Dropped","-1","-1","NA"
"RJio","Indoor","4G","1","Call Dropped","31.61257776","76.92234858","Himachal Pradesh"
"RJio","Indoor","4G","4","Satisfactory","18.5197538","73.856198","Maharashtra"
"RJio","Indoor","4G","4","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","4","Satisfactory","-1","-1","NA"
"RJio","Outdoor","4G","4","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","4","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","4","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","4","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","4","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","4","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","4","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","4","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","4","Satisfactory","-1","-1","NA"
"Airtel","Outdoor","4G","1","Poor Voice Quality","28.6154668","77.12714381","Delhi"
